2019-11-13 11:57:38.4581 | Development | FATAL |  |  |  |  | Application startup exception
2019-11-13 11:57:41.6605 | Development | FATAL |  |  |  |  | Application startup exception
2019-11-13 12:02:15.8508 | Development | INFO |  |  |  |  | User profile is available. Using 'C:\Users\luhero04\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2019-11-13 12:02:55.6787 | Development | INFO |  |  |  |  | User profile is available. Using 'C:\Users\luhero04\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2019-11-13 12:03:14.4864 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/1.1 GET http://localhost:5000/  
2019-11-13 12:03:14.5405 | Development | INFO | ::1 | 0 | GET |  | Request finished in 54.3958ms 307 
2019-11-13 12:03:17.7672 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/2 GET https://localhost:5001/  
2019-11-13 12:03:17.7759 | Development | INFO | ::1 | 0 | GET |  | Request finished in 8.704ms 404 
2019-11-13 12:03:21.2552 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/2 GET https://localhost:5001/swagger  
2019-11-13 12:03:21.2597 | Development | INFO | ::1 | 0 | GET |  | Request finished in 4.5881ms 302 
2019-11-13 12:03:21.2597 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/2 GET https://localhost:5001/swagger/index.html  
2019-11-13 12:03:21.3468 | Development | INFO | ::1 | 0 | GET |  | Request finished in 85.3833ms 200 text/html; charset=utf-8
2019-11-13 12:03:21.3611 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/2 GET https://localhost:5001/swagger/swagger-ui.css  
2019-11-13 12:03:21.3611 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/2 GET https://localhost:5001/swagger/swagger-ui-standalone-preset.js  
2019-11-13 12:03:21.3611 | Development | INFO | ::1 | 0 | GET |  | Request starting HTTP/2 GET https://localhost:5001/swagger/swagger-ui-bundle.js  
2019-11-13 12:03:21.3819 | Development | INFO | ::1 | 0 | GET |  | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A'
2019-11-13 12:03:21.3819 | Development | INFO | ::1 | 0 | GET |  | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A'
2019-11-13 12:03:21.3819 | Development | INFO | ::1 | 0 | GET |  | Request finished in 24.0696ms 200 application/javascript
2019-11-13 12:03:21.3819 | Development | INFO | ::1 | 0 | GET |  | Request finished in 24.3955ms 200 text/css
